Artist,Song,ValidLink,ID,KworbLink,Spotify Link
Bing Crosby & The Andrews Sisters,Traum,False,6Mw1NYkSkqrX1HtzDdTdAZ,https://kworb.net/spotify/track/6Mw1NYkSkqrX1HtzDdTdAZ.html,https://open.spotify.com/track/6Mw1NYkSkqrX1HtzDdTdAZ
Bing Crosby & The Andrews Sisters,Einmal um die Welt,True,7qiUjLVo6zLj8WmxPMqoXD,https://kworb.net/spotify/track/7qiUjLVo6zLj8WmxPMqoXD.html,https://open.spotify.com/track/7qiUjLVo6zLj8WmxPMqoXD
Bing Crosby & The Andrews Sisters,Bye Bye,False,4ooznHZF5fGsMIChB36pls,https://kworb.net/spotify/track/4ooznHZF5fGsMIChB36pls.html,https://open.spotify.com/track/4ooznHZF5fGsMIChB36pls
Bing Crosby & The Andrews Sisters,Easy,False,063ltSmgXNffmgYxippeke,https://kworb.net/spotify/track/063ltSmgXNffmgYxippeke.html,https://open.spotify.com/track/063ltSmgXNffmgYxippeke
Bing Crosby & The Andrews Sisters,Bad Chick,False,1hkne8FgcV3ChQq13G9mQ2,https://kworb.net/spotify/track/1hkne8FgcV3ChQq13G9mQ2.html,https://open.spotify.com/track/1hkne8FgcV3ChQq13G9mQ2
Bing Crosby & The Andrews Sisters,unendlichkeit - Main Edit,False,3bV0ZqfzR3QYgWU2QivjQm,https://kworb.net/spotify/track/3bV0ZqfzR3QYgWU2QivjQm.html,https://open.spotify.com/track/3bV0ZqfzR3QYgWU2QivjQm
Bing Crosby & The Andrews Sisters,Ein Teil,False,0U6X8jiH7iHREOZKo8yajq,https://kworb.net/spotify/track/0U6X8jiH7iHREOZKo8yajq.html,https://open.spotify.com/track/0U6X8jiH7iHREOZKo8yajq
Bing Crosby & The Andrews Sisters,Whatever - +1,False,76vzW941WbfYjAp7SusKIj,https://kworb.net/spotify/track/76vzW941WbfYjAp7SusKIj.html,https://open.spotify.com/track/76vzW941WbfYjAp7SusKIj
Bing Crosby & The Andrews Sisters,Nie Mehr,False,77NjB7wkkhPUte2Nvz9awC,https://kworb.net/spotify/track/77NjB7wkkhPUte2Nvz9awC.html,https://open.spotify.com/track/77NjB7wkkhPUte2Nvz9awC
Bing Crosby & The Andrews Sisters,Du,False,27iPwB996qUnv5oVq6QyjN,https://kworb.net/spotify/track/27iPwB996qUnv5oVq6QyjN.html,https://open.spotify.com/track/27iPwB996qUnv5oVq6QyjN
Bing Crosby & The Andrews Sisters,*FrÃ¼hstÃ¼ck in Paris,True,1ddbNJwDjjmCYz1GFGYnsw,https://kworb.net/spotify/track/1ddbNJwDjjmCYz1GFGYnsw.html,https://open.spotify.com/track/1ddbNJwDjjmCYz1GFGYnsw
Bing Crosby & The Andrews Sisters,letzter song,True,7EHEVPIFS6mOq4BOhlVL3i,https://kworb.net/spotify/track/7EHEVPIFS6mOq4BOhlVL3i.html,https://open.spotify.com/track/7EHEVPIFS6mOq4BOhlVL3i
Bing Crosby & The Andrews Sisters,Meine Gang (Bang Bang),False,4Q2Qr0N7zK8y6TaevsIrMU,https://kworb.net/spotify/track/4Q2Qr0N7zK8y6TaevsIrMU.html,https://open.spotify.com/track/4Q2Qr0N7zK8y6TaevsIrMU
Bing Crosby & The Andrews Sisters,"*5 Minuten (feat. Cro, AnnenMayKantereit, Trettmann)",False,41Gf2HuKpzJhzYfq3KAq31,https://kworb.net/spotify/track/41Gf2HuKpzJhzYfq3KAq31.html,https://open.spotify.com/track/41Gf2HuKpzJhzYfq3KAq31
Bing Crosby & The Andrews Sisters,BLESSED (feat. Capital Bra),False,6kxErsVgalFeBlxRfHCuUv,https://kworb.net/spotify/track/6kxErsVgalFeBlxRfHCuUv.html,https://open.spotify.com/track/6kxErsVgalFeBlxRfHCuUv
Bing Crosby & The Andrews Sisters,*GlÃ¼cklich,False,7I6ID7duHfkvPHbZc7Zq6M,https://kworb.net/spotify/track/7I6ID7duHfkvPHbZc7Zq6M.html,https://open.spotify.com/track/7I6ID7duHfkvPHbZc7Zq6M
Bing Crosby & The Andrews Sisters,*1000 Hits,True,22XKrkW2HeaLlxNDQs14iG,https://kworb.net/spotify/track/22XKrkW2HeaLlxNDQs14iG.html,https://open.spotify.com/track/22XKrkW2HeaLlxNDQs14iG
Bing Crosby & The Andrews Sisters,Melodie,False,0OmwIQELgZDOEazUAMPhBR,https://kworb.net/spotify/track/0OmwIQELgZDOEazUAMPhBR.html,https://open.spotify.com/track/0OmwIQELgZDOEazUAMPhBR
Bing Crosby & The Andrews Sisters,*1975,True,6mf2YhtRwQUdnORRrRQ3hP,https://kworb.net/spotify/track/6mf2YhtRwQUdnORRrRQ3hP.html,https://open.spotify.com/track/6mf2YhtRwQUdnORRrRQ3hP
